iter	MultiClass
0	1.062812603
1	1.0273953
2	0.9951171356
3	0.9639040393
4	0.9359790055
5	0.9098430155
6	0.8835089732
7	0.860682676
8	0.8387016345
9	0.8181717499
10	0.7986161924
11	0.7797311135
12	0.7621714854
13	0.7466317004
14	0.7297453354
15	0.714963211
16	0.7010071865
17	0.6879163308
18	0.6742864305
19	0.6615280904
20	0.6492954127
21	0.6365304484
22	0.6260568524
23	0.6166113991
24	0.6087205056
25	0.6000064963
26	0.5915282477
27	0.5814248451
28	0.5730911196
29	0.5650243209
30	0.5568520345
31	0.5499234333
32	0.5419522934
33	0.5359264001
34	0.5299926866
35	0.5228197613
36	0.5176323362
37	0.5129244035
38	0.5066678186
39	0.5025034467
40	0.4968054943
41	0.4904253187
42	0.4854757978
43	0.480131372
44	0.4743142703
45	0.4697848074
46	0.464988442
47	0.4606301861
48	0.4571412075
49	0.4532948743
50	0.4492090914
51	0.4457024617
52	0.4418231535
53	0.4383769827
54	0.4351664523
55	0.431707854
56	0.428471842
57	0.4250990447
58	0.4219778403
59	0.4187042792
60	0.4165922005
61	0.4144137344
62	0.4115553138
63	0.408700656
64	0.4063197576
65	0.4043559925
66	0.4022249649
67	0.3998139206
68	0.3981246054
69	0.3967483659
70	0.3946037654
71	0.3927322472
72	0.3901300852
73	0.3887378043
74	0.387024334
75	0.3848043964
76	0.3828933594
77	0.3811192557
78	0.3792474488
79	0.3773894857
80	0.3754616813
81	0.3736001367
82	0.3718114371
83	0.3704640415
84	0.3691640245
85	0.3671313356
86	0.3654731298
87	0.3644101555
88	0.3632149707
89	0.361366492
90	0.3603682995
91	0.3588790112
92	0.3575989789
93	0.3559509875
94	0.3541555692
95	0.3528476593
96	0.3525455304
97	0.3509120982
98	0.3497303242
99	0.3481259864
100	0.3467419408
101	0.345553106
102	0.3445674661
103	0.3433884924
104	0.3423118527
105	0.3410215173
106	0.3398261264
107	0.3388433671
108	0.337602783
109	0.3365956813
110	0.33533913
111	0.3338941323
112	0.3329114803
113	0.331784506
114	0.3308870089
115	0.3299825094
116	0.3291555236
117	0.3281589865
118	0.3271310166
119	0.326003564
120	0.3249233789
121	0.323902855
122	0.3232460405
123	0.3224379366
124	0.3213810021
125	0.3202162998
126	0.3192936223
127	0.3182757046
128	0.3175284067
129	0.3164065935
130	0.3154394687
131	0.3147173392
132	0.3137378874
133	0.3129980675
134	0.3120792739
135	0.3111698487
136	0.3101413315
137	0.309309051
138	0.3083464012
139	0.3074262248
140	0.3065322488
141	0.3058066073
142	0.3049313644
143	0.3040376262
144	0.3031906994
145	0.3029724088
146	0.3021239732
147	0.3009282677
148	0.3002470056
149	0.2995762445
150	0.2986850051
151	0.2980905258
152	0.2973230658
153	0.2964675373
154	0.2959195606
155	0.2953068944
156	0.2945681304
157	0.2938704865
158	0.293312696
159	0.292850838
160	0.2922704775
161	0.2913395716
162	0.2906539305
163	0.2898661833
164	0.2894433634
165	0.2887705086
166	0.2882223633
167	0.2874964605
168	0.2873606634
169	0.2868563801
170	0.2861321161
171	0.2854449658
172	0.284170424
173	0.2835747777
174	0.2832032792
175	0.2821544681
176	0.2814016844
177	0.2806875302
178	0.2800589784
179	0.2793218327
180	0.278554742
181	0.2782292465
182	0.2777351268
183	0.2770807647
184	0.2762350468
185	0.2755827325
186	0.2750765562
187	0.2745259145
188	0.2739279634
189	0.2731613914
190	0.2724193934
191	0.27196819
192	0.2713405647
193	0.2706764233
194	0.2701506501
195	0.2691835134
196	0.2686999599
197	0.2681424058
198	0.2674680827
199	0.2668509217
200	0.2664513677
201	0.2654631341
202	0.2646434853
203	0.2639274642
204	0.2634698721
205	0.2629131309
206	0.262409565
207	0.2617052876
208	0.2607902655
209	0.260031824
210	0.2597308832
211	0.2592012156
212	0.2586519043
213	0.2580408935
214	0.2573921833
215	0.2567638444
216	0.2564106451
217	0.2558477574
218	0.2552384703
219	0.2549027068
220	0.2544767468
221	0.2540992606
222	0.253726294
223	0.25335555
224	0.2527523767
225	0.2522954335
226	0.2520246317
227	0.2517049382
228	0.2510960761
229	0.2506417265
230	0.2501603402
231	0.2496633569
232	0.2491453276
233	0.2486269495
234	0.2480880665
235	0.2476718598
236	0.2471890289
237	0.2467885142
238	0.2462872
239	0.2455723189
240	0.2451299552
241	0.2446666198
242	0.2439009051
243	0.2434743056
244	0.2428493671
245	0.2422082539
246	0.2415393233
247	0.2411664479
248	0.2405345576
249	0.2400678522
250	0.2395302343
251	0.2392429796
252	0.2387751381
253	0.2383741844
254	0.2377292516
255	0.2373101312
256	0.2370575551
257	0.2365352306
258	0.236116032
259	0.235757934
260	0.2353685141
261	0.235028687
262	0.2347551193
263	0.2343851747
264	0.2340358482
265	0.2336482306
266	0.2332472907
267	0.232762874
268	0.2321335792
269	0.231895073
270	0.2315783657
271	0.2312754955
272	0.2307107464
273	0.2302942812
274	0.2299373436
275	0.2294115805
276	0.2289773613
277	0.2284843258
278	0.228025416
279	0.2276919032
280	0.2272710072
281	0.2268021736
282	0.2263617076
283	0.2261316046
284	0.2254295951
285	0.2249567766
286	0.2245327441
287	0.224123956
288	0.2237145796
289	0.2233565088
290	0.2229852837
291	0.2226270793
292	0.2222801179
293	0.2219369804
294	0.2216183993
295	0.2211804874
296	0.2207188196
297	0.2203424602
298	0.2200077974
299	0.2197063713
300	0.2191021357
301	0.2185928193
302	0.2182326974
303	0.2179778169
304	0.2174794876
305	0.217154358
306	0.2168404302
307	0.2163929467
308	0.2159780833
309	0.2155695531
310	0.2152623657
311	0.2148313572
312	0.2144272487
313	0.2140689986
314	0.2135737705
315	0.2132804853
316	0.2126858816
317	0.2123794774
318	0.2120275949
319	0.2116294169
320	0.2112311552
321	0.210870302
322	0.2104528222
323	0.2101879027
324	0.2099463109
325	0.2095224118
326	0.2092390616
327	0.2088912641
328	0.2085725738
329	0.2082083028
330	0.2077999549
331	0.2074222798
332	0.2071483045
333	0.2066610928
334	0.206387905
335	0.2060862446
336	0.2056660453
337	0.2053656055
338	0.2049241077
339	0.2045852779
340	0.2043008301
341	0.2039442561
342	0.2035754403
343	0.2031714416
344	0.2028508778
345	0.2024566753
346	0.2021563696
347	0.2018610209
348	0.2015042059
349	0.2011963011
350	0.2008744778
351	0.2006159935
352	0.200204634
353	0.1999587016
354	0.1996245616
355	0.1991956462
356	0.1988964065
357	0.1986110145
358	0.1983308987
359	0.198032902
360	0.1976250273
361	0.1972561547
362	0.1968966637
363	0.1964883271
364	0.1961414863
365	0.1957765082
366	0.1953364485
367	0.1950065228
368	0.1947775084
369	0.1944632735
370	0.1941610525
371	0.193996121
372	0.1937379181
373	0.1932260116
374	0.1929566665
375	0.1926268575
376	0.1922810905
377	0.1918247628
378	0.1913769025
379	0.1909424305
380	0.1905313334
381	0.1902624762
382	0.1899745255
383	0.1897099027
384	0.1892738588
385	0.1890350032
386	0.1886240517
387	0.1882842849
388	0.1879770771
389	0.1875453329
390	0.1871188324
391	0.1868563616
392	0.1865961484
393	0.1864009553
394	0.1861604275
395	0.1858810865
396	0.1855081069
397	0.1853413507
398	0.184934927
399	0.1845196934
400	0.1842611555
401	0.1840399982
402	0.1837253273
403	0.183490956
404	0.1832245492
405	0.182886387
406	0.1827162326
407	0.1824247347
408	0.1821724195
409	0.1818223429
