iter	Passed	Remaining
0	47	67853
1	92	66263
2	137	66140
3	184	66190
4	229	65892
5	275	65862
6	321	65938
7	366	65719
8	411	65475
9	456	65361
10	502	65307
11	546	65068
12	592	65029
13	637	64955
14	682	64895
15	726	64737
16	772	64675
17	817	64665
18	863	64616
19	912	64825
20	958	64802
21	1002	64680
22	1046	64539
23	1094	64611
24	1139	64561
25	1186	64574
26	1232	64555
27	1278	64504
28	1324	64495
29	1371	64486
30	1416	64414
31	1462	64410
32	1507	64338
33	1554	64319
34	1600	64283
35	1645	64236
36	1690	64159
37	1734	64043
38	1778	63928
39	1823	63867
40	1870	63858
41	1915	63798
42	1960	63752
43	2005	63682
44	2050	63607
45	2096	63580
46	2143	63576
47	2188	63516
48	2232	63419
49	2277	63357
50	2323	63314
51	2369	63293
52	2415	63264
53	2461	63225
54	2505	63150
55	2551	63104
56	2598	63097
57	2644	63058
58	2690	63012
59	2734	62944
60	2778	62866
61	2824	62818
62	2870	62791
63	2920	62845
64	2969	62864
65	3014	62800
66	3059	62744
67	3105	62703
68	3151	62658
69	3195	62593
70	3241	62551
71	3286	62487
72	3331	62434
73	3378	62417
74	3424	62378
75	3470	62335
76	3516	62292
77	3562	62258
78	3608	62208
79	3653	62154
80	3699	62114
81	3744	62052
82	3788	61980
83	3833	61937
84	3879	61888
85	3924	61839
86	3970	61800
87	3977	61149
88	4021	61088
89	4066	61041
90	4111	60999
91	4157	60962
92	4203	60927
93	4249	60887
94	4294	60851
95	4340	60811
96	4346	60228
97	4393	60204
98	4438	60171
99	4484	60139
100	4530	60111
101	4577	60085
102	4623	60062
103	4669	60024
104	4714	59987
105	4760	59959
106	4808	59947
107	4854	59914
108	4899	59878
109	4947	59869
110	4994	59847
111	5041	59817
112	5086	59777
113	5133	59753
114	5179	59722
115	5225	59682
116	5271	59649
117	5316	59608
118	5362	59567
119	5407	59523
120	5454	59499
121	5499	59462
122	5545	59417
123	5591	59388
124	5638	59363
125	5684	59325
126	5730	59287
127	5777	59267
128	5822	59220
129	5869	59196
130	5916	59161
131	5961	59114
132	6006	59075
133	6051	59026
134	6095	58968
135	6141	58928
136	6186	58887
137	6232	58848
138	6277	58803
139	6323	58767
140	6369	58727
141	6415	58686
142	6460	58638
143	6506	58600
144	6552	58566
145	6558	58172
146	6603	58125
147	6649	58094
148	6695	58057
149	6741	58022
150	6787	57989
151	6832	57943
152	6878	57908
153	6926	57885
154	6976	57879
155	7023	57857
156	7068	57811
157	7114	57769
158	7160	57734
159	7204	57684
160	7249	57638
161	7295	57598
162	7340	57553
163	7386	57512
164	7432	57479
165	7477	57431
166	7522	57384
167	7567	57341
168	7575	57018
169	7600	56826
170	7647	56794
171	7691	56745
172	7738	56716
173	7784	56683
174	7828	56637
175	7874	56601
176	7921	56568
177	7967	56531
178	8011	56485
179	8056	56439
180	8102	56403
181	8146	56354
182	8192	56321
183	8240	56293
184	8286	56259
185	8331	56213
186	8376	56169
187	8420	56123
188	8467	56093
189	8513	56056
190	8558	56008
191	8603	55965
192	8648	55927
193	8695	55891
194	8740	55852
195	8789	55830
196	8834	55788
197	8880	55747
198	8925	55703
199	8971	55667
200	9020	55651
201	9067	55616
202	9114	55584
203	9159	55541
204	9206	55508
205	9251	55464
206	9296	55422
207	9343	55385
208	9390	55355
209	9436	55316
210	9483	55282
211	9529	55242
212	9574	55198
213	9619	55156
214	9665	55115
215	9712	55081
216	9757	55038
217	9803	54996
218	9847	54949
219	9892	54902
220	9937	54859
221	9985	54830
222	10029	54779
223	10075	54738
224	10120	54696
225	10166	54653
226	10211	54611
227	10256	54566
228	10301	54523
229	10346	54475
230	10391	54433
231	10437	54393
232	10485	54361
233	10532	54325
234	10579	54295
235	10625	54251
236	10672	54216
237	10717	54171
238	10762	54127
239	10809	54092
240	10854	54046
241	10899	54002
242	10946	53964
243	10992	53928
244	11042	53906
245	11090	53876
246	11136	53835
247	11181	53786
248	11230	53763
249	11276	53722
250	11321	53675
251	11366	53628
252	11411	53586
253	11456	53540
254	11503	53500
255	11547	53453
256	11593	53409
257	11640	53374
258	11686	53333
259	11732	53290
260	11777	53245
261	11823	53205
262	11868	53157
263	11913	53112
264	11958	53068
265	12004	53028
266	12052	52995
267	12103	52977
268	12153	52952
269	12200	52913
270	12246	52873
271	12291	52828
272	12337	52786
273	12384	52747
274	12430	52705
275	12477	52666
276	12523	52626
277	12568	52581
278	12615	52539
279	12660	52494
280	12705	52448
281	12750	52403
282	12796	52361
283	12840	52310
284	12886	52270
285	12932	52225
286	12978	52186
287	13024	52144
288	13072	52107
289	13119	52072
290	13164	52025
291	13210	51983
292	13256	51940
293	13302	51898
294	13348	51854
295	13393	51809
296	13438	51764
297	13484	51719
298	13530	51677
299	13575	51633
300	13621	51589
301	13666	51542
302	13712	51500
303	13757	51455
304	13803	51412
305	13849	51369
306	13895	51327
307	13940	51282
308	13985	51236
309	14031	51190
310	14075	51142
311	14121	51100
312	14165	51051
313	14211	51007
314	14258	50968
315	14305	50928
316	14350	50883
317	14395	50836
318	14441	50794
319	14486	50749
320	14533	50707
321	14578	50662
322	14623	50617
323	14668	50571
324	14714	50526
325	14760	50484
326	14804	50433
327	14849	50388
328	14894	50343
329	14939	50296
330	14984	50251
331	15031	50209
332	15075	50159
333	15125	50130
334	15170	50084
335	15215	50040
336	15261	49994
337	15311	49964
338	15356	49918
339	15401	49875
340	15446	49828
341	15493	49787
342	15539	49744
343	15585	49700
344	15629	49653
345	15674	49605
346	15720	49563
347	15764	49514
348	15810	49469
349	15854	49421
350	15899	49375
351	15944	49327
352	15990	49284
353	16035	49238
354	16080	49193
355	16126	49150
356	16171	49103
357	16217	49061
358	16262	49015
359	16309	48972
360	16354	48928
361	16399	48881
362	16446	48842
363	16492	48797
364	16537	48752
365	16582	48706
366	16628	48660
367	16674	48619
368	16720	48574
369	16765	48528
370	16810	48482
371	16855	48436
372	16899	48388
373	16945	48345
374	16991	48300
375	17036	48253
376	17081	48209
377	17126	48162
378	17178	48136
379	17225	48094
380	17270	48049
381	17315	48003
382	17360	47956
383	17405	47909
384	17450	47863
385	17495	47818
386	17541	47774
387	17588	47732
388	17634	47689
389	17681	47649
390	17727	47606
391	17772	47558
392	17817	47512
393	17861	47464
394	17906	47417
395	17951	47371
396	17996	47326
397	18041	47279
398	18086	47234
399	18132	47188
400	18175	47138
401	18223	47100
402	18272	47064
403	18319	47021
404	18363	46974
405	18408	46928
406	18453	46882
407	18499	46839
408	18544	46791
409	18590	46748
410	18638	46709
411	18686	46670
412	18733	46630
413	18778	46582
414	18824	46539
415	18869	46494
416	18915	46449
417	18960	46403
418	19005	46357
419	19052	46316
420	19099	46274
421	19145	46231
422	19196	46198
423	19242	46155
424	19289	46113
425	19334	46067
426	19380	46023
427	19427	45981
428	19471	45932
429	19516	45887
430	19562	45842
431	19608	45797
432	19651	45748
433	19696	45700
434	19741	45654
435	19786	45608
436	19831	45562
437	19875	45513
438	19920	45467
439	19966	45422
440	20010	45375
441	20056	45331
442	20102	45287
443	20147	45240
444	20193	45197
445	20240	45156
446	20287	45112
447	20332	45067
448	20377	45020
449	20424	44978
450	20468	44930
451	20512	44883
452	20558	44837
453	20603	44792
454	20649	44749
455	20695	44703
456	20740	44657
457	20787	44614
458	20832	44568
459	20876	44521
460	20923	44478
461	20966	44429
462	21012	44384
463	21058	44339
464	21104	44295
465	21148	44247
466	21193	44202
467	21244	44167
468	21291	44125
469	21336	44079
470	21381	44034
471	21426	43987
472	21471	43942
473	21516	43894
474	21562	43851
475	21607	43805
476	21653	43760
477	21698	43713
478	21743	43667
479	21788	43621
480	21834	43577
481	21878	43530
482	21922	43481
483	21968	43437
484	22013	43392
485	22059	43346
486	22105	43302
487	22150	43256
488	22196	43212
489	22241	43166
490	22287	43122
491	22335	43082
492	22381	43037
493	22425	42990
494	22470	42944
495	22518	42903
496	22566	42862
497	22612	42817
498	22657	42772
499	22703	42727
500	22747	42680
501	22798	42645
502	22885	42677
503	22940	42649
504	22985	42603
505	23030	42556
506	23075	42509
507	23119	42462
508	23164	42415
509	23209	42368
510	23258	42329
511	23306	42288
512	23352	42244
513	23399	42201
514	23445	42156
515	23490	42110
516	23535	42063
517	23581	42018
518	23628	41975
519	23673	41929
520	23719	41884
521	23762	41835
522	23806	41787
523	23853	41742
524	23898	41696
525	23943	41650
526	23987	41602
527	24032	41556
528	24077	41510
529	24124	41467
530	24169	41419
531	24214	41373
532	24260	41329
533	24304	41281
534	24353	41241
535	24399	41196
536	24444	41151
537	24489	41103
538	24534	41057
539	24579	41011
540	24625	40966
541	24670	40920
542	24715	40874
543	24761	40829
544	24808	40785
545	24852	40738
546	24898	40693
547	24944	40648
548	24988	40601
549	25033	40554
550	25077	40506
551	25123	40462
552	25168	40415
553	25214	40370
554	25263	40329
555	25316	40296
556	25362	40251
557	25407	40205
558	25452	40159
559	25497	40113
560	25543	40067
561	25589	40023
562	25633	39975
563	25678	39929
564	25723	39883
565	25768	39836
566	25815	39792
567	25860	39747
568	25905	39700
569	25950	39653
570	25994	39606
571	26038	39558
572	26083	39511
573	26129	39466
574	26174	39421
575	26221	39378
576	26270	39337
577	26314	39290
578	26361	39246
579	26407	39200
580	26452	39155
581	26497	39108
582	26543	39063
583	26590	39020
584	26636	38976
585	26681	38930
586	26728	38885
587	26772	38838
588	26818	38792
589	26863	38747
590	26908	38701
591	26954	38656
592	27001	38612
593	27046	38566
594	27092	38521
595	27139	38477
596	27184	38431
597	27231	38388
598	27276	38341
599	27326	38303
600	27372	38257
601	27419	38213
602	27465	38168
603	27509	38121
604	27553	38074
605	27598	38027
606	27644	37982
607	27689	37935
608	27734	37889
609	27779	37843
610	27825	37798
611	27871	37753
612	27916	37707
613	27960	37660
614	28006	37615
615	28050	37568
616	28096	37522
617	28141	37476
618	28188	37432
619	28234	37387
620	28280	37343
621	28327	37299
622	28377	37259
623	28423	37214
624	28468	37168
625	28513	37122
626	28560	37078
627	28606	37033
628	28651	36987
629	28697	36942
630	28745	36899
631	28790	36853
632	28835	36807
633	28881	36762
634	28926	36716
635	28972	36671
636	29017	36624
637	29063	36579
638	29108	36533
639	29153	36487
640	29199	36442
641	29248	36400
642	29292	36353
643	29339	36309
644	29386	36265
645	29436	36226
646	29483	36182
647	29529	36136
648	29575	36091
649	29620	36046
650	29665	36000
651	29711	35954
652	29757	35909
653	29802	35863
654	29847	35816
655	29893	35771
656	29937	35724
657	29983	35679
658	30029	35634
659	30074	35588
